Skill_Icon_1000	1-Battle-Roar
Skill_Icon_1001	2-Acrobatic-Move
Skill_Icon_1002	3-Aggression
Skill_Icon_1003	4-Apply-Poison
Skill_Icon_1004	5-Apply-Burn
Skill_Icon_1005	6-Apply-Paralysis
Skill_Icon_1006	7-Apply-Bleed
Skill_Icon_1007	8-Bash
Skill_Icon_1008	9-Battle-Roar
Skill_Icon_1009	10-Charge
Skill_Icon_1010	11-Charity
Skill_Icon_1011	12-Chastity
Skill_Icon_1012	13-Concussion
Skill_Icon_1013	14-Corrupt-Mind
Skill_Icon_1014	15-Courage
Skill_Icon_1015	16-Cripple
Skill_Icon_1016	17-Crystal-Pillar
Skill_Icon_1017	18-Curse-Darkness
Skill_Icon_1018	19-Cut-Back
Skill_Icon_1019	20-Decay
Skill_Icon_1020	21-Deep-Frezze
Skill_Icon_1021	22-Delaminate
Skill_Icon_1022	23-Demi
Skill_Icon_1023	24-Detect-Weekess
Skill_Icon_1024	25-Diligence
Skill_Icon_1025	26-Focus
Skill_Icon_1026	27-Hawkeye
Skill_Icon_1027	28-Electric-Wave
Skill_Icon_1028	29-Endure
Skill_Icon_1029	30-Relax
Skill_Icon_1030	31-Fire
Skill_Icon_1031	32-Fissure
Skill_Icon_1032	33-Flash
Skill_Icon_1033	34-Force-Push
Skill_Icon_1034	35-Gravitation
Skill_Icon_1035	36-Guardian-Stance
Skill_Icon_1036	37-Head-Shot
Skill_Icon_1037	38-Healing-Light
Skill_Icon_1038	39-Hesitation
Skill_Icon_1039	40-Holy
Skill_Icon_1040	41-Ice-Age
Skill_Icon_1041	42-Ice
Skill_Icon_1042	43-Ignite
Skill_Icon_1043	44--Impack-Vibration
Skill_Icon_1044	45-Induration
Skill_Icon_1045	46-Iron-Clad
Skill_Icon_1046	47-Lightning
Skill_Icon_1047	48-Maditation
Skill_Icon_1048	49-Lullaby
Skill_Icon_1049	50-Magic-Resist
Skill_Icon_1050	51-Meteor-Storm
Skill_Icon_1051	52-Might-of-Heaven
Skill_Icon_1052	53-Nature's-Grieve
Skill_Icon_1053	54-Over-Growth
Skill_Icon_1054	55-Patience
Skill_Icon_1055	56-Pierce-Shot
Skill_Icon_1056	57-Poison-Arrow
Skill_Icon_1057	58-Fire-Arrow
Skill_Icon_1058	59-Sparking-Arrow
Skill_Icon_1059	60-Cursed-Arrow
Skill_Icon_1060	61-Poison-Ivy
Skill_Icon_1061	62-Poison
Skill_Icon_1062	63-Power-Strike
Skill_Icon_1063	64-Prominance
Skill_Icon_1064	65-Provoking-Roar
Skill_Icon_1065	66-Punch
Skill_Icon_1066	67-Quiescence
Skill_Icon_1067	68-Radius-Heal
Skill_Icon_1068	69-Repel
Skill_Icon_1069	70-Repose
Skill_Icon_1070	71-Reraise
Skill_Icon_1071	72-Restore
Skill_Icon_1072	73-Return
Skill_Icon_1073	74-Satisfaction
Skill_Icon_1074	75-Shield-Stun
Skill_Icon_1075	76-Shove-Stab
Skill_Icon_1076	77-Storm-Path
Skill_Icon_1077	78-Taunt
Skill_Icon_1078	79-Temperance
Skill_Icon_1079	80-Throw-Stone
Skill_Icon_1080	81-Time-Stop
Skill_Icon_1081	82-Tinospora
Skill_Icon_1082	83-Toxic-Pollen
Skill_Icon_1083	84-Termor
Skill_Icon_1084	85-Trepidation
Skill_Icon_1085	86-Unsun
Skill_Icon_1086	87-Waver
Skill_Icon_1087	88-Snow-Ball
Skill_Icon_1088	89-Snow-Bullet
Skill_Icon_1089	90-Frost-Spike
Skill_Icon_1090	91-Ice-Nova
Skill_Icon_1091	92-Frost-Bite
Skill_Icon_1092	93-Hailstrom
Skill_Icon_1093	94-Snowman
Skill_Icon_1094	95-Wheater-Report
Skill_Icon_1095	96-Enchant-Frost
Skill_Icon_1096	97-Enchant-Flame
Skill_Icon_1097	98-Enchant-Wind
Skill_Icon_1098	99-Enchant-Earth
Skill_Icon_1099	100-Enchant-Magic
Skill_Icon_1100	101-Posses
Skill_Icon_1101	102-Rise
Skill_Icon_1102	103-Bone-Harpoon
Skill_Icon_1103	104-Bone-Trap
Skill_Icon_1104	105-Summon-Golem
Skill_Icon_1105	106-Bear-Trap
Skill_Icon_1106	107-Devil-Pack
Skill_Icon_1107	108-Green-Potion
Skill_Icon_1108	109-Red-Potion
Skill_Icon_1109	110-Yellow-Potion
Skill_Icon_1110	111-Blue-Potion
Skill_Icon_1111	112-Greed
Skill_Icon_1112	113-Rage
Skill_Icon_1113	114-Charm
Skill_Icon_1114	115-Fire-Wall
Skill_Icon_1115	116-Fire-Pillar
Skill_Icon_1116	117-Empower
Skill_Icon_1117	118-Kick
Skill_Icon_1118	119-Flying-Kick
Skill_Icon_1119	120-Float
Skill_Icon_1120	121-First-Aid
Skill_Icon_1121	122-Trick-Dead
Skill_Icon_1122	123-Identify
Skill_Icon_1123	124-Pick
Skill_Icon_1124	125-Tackle
Skill_Icon_1125	126-Steal
Skill_Icon_1126	127-Hide
Skill_Icon_1127	128-Spear-Stab
Skill_Icon_1128	129-Throw-Spear
Skill_Icon_1129	130-Brandish
Skill_Icon_1130	131-Galloop
